code,lon,lat,hgt,crd1_flg,crd2_flg,crd1_X,crd1_Y,crd1_Z,crd2_X,crd2_Y,crd2_Z,diff_X,diff_Y,diff_Z,diff_E,diff_N,diff_U
ADE1 50109S001,138.6473488393904,-34.72899294832182,38.033302173018456,I,I,-3939182.64291,3467075.35709,-3613220.07432,-3939182.64291,3467075.35709,-3613220.07432,0.0,0.0,0.0,0.0,0.0,0.0
ADE2 50109S001,138.6473488393904,-34.72899294832182,38.033302173018456,I,I,-3939182.64291,3467075.35709,-3613220.07432,-3939182.64291,3467075.35709,-3613220.07432,0.0,0.0,0.0,0.0,0.0,0.0
AIRA 21742S001,130.5995952867862,31.82405995939986,314.6726516382769,I,I,-3530185.74714,4118797.26272,3344036.81264,-3530185.74714,4118797.26272,3344036.81264,0.0,0.0,0.0,0.0,0.0,0.0
ALBH 40129M003,-123.4874715054833,48.38978053418537,31.748866099864244,I,I,-2341333.0538,-3539049.51797,4745791.27634,-2341333.0538,-3539049.51797,4745791.27634,0.0,0.0,0.0,0.0,0.0,0.0
ALGO 40104M002,-78.07137019402428,45.955800610942546,200.94551701657474,I,I,918129.21574,-4346071.30409,4561977.89981,918129.21574,-4346071.30409,4561977.89981,0.0,0.0,0.0,0.0,0.0,0.0
ALIC 50137M001,133.88552007746767,-23.67011276927486,603.2426713770255,I,I,-4052052.54031,4212836.00965,-2545104.85422,-4052052.54031,4212836.00965,-2545104.85422,0.0,0.0,0.0,0.0,0.0,0.0
ALRT 40162M001,-62.340477718687325,82.49429438587983,78.17716990504414,I,I,388042.48689,-740382.44046,6302001.93275,388042.48689,-740382.44046,6302001.93275,0.0,0.0,0.0,0.0,0.0,0.0
AMC2 40472S004,-104.52459544898764,38.80312394509079,1911.3861341951415,I,I,-1248596.33883,-4819428.20195,3976505.94811,-1248596.33883,-4819428.20195,3976505.94811,0.0,0.0,0.0,0.0,0.0,0.0
ANKR 20805M002,32.75846999355413,39.887372287964894,976.0166081991047,I,I,4121948.44607,2652187.86557,4069023.84402,4121948.44607,2652187.86557,4069023.84402,0.0,0.0,0.0,0.0,0.0,0.0
ANTC 41713S001,-71.53204778591987,-37.33870175821624,745.40093644429,I,I,1608539.74174,-4816369.73194,-3847798.45424,1608539.74174,-4816369.73194,-3847798.45424,0.0,0.0,0.0,0.0,0.0,0.0
AOML 49914S001,-80.16220016746672,25.734691884579572,0.0950615769252181,I,I,982296.62385,-5664607.2268,2752614.5225,982296.62385,-5664607.2268,2752614.5225,0.0,0.0,0.0,0.0,0.0,0.0
ARTU 12362M001,58.56046080446374,56.42982211501786,247.57775225676596,I,I,1843956.48143,3016203.20258,5291261.77672,1843956.48143,3016203.20258,5291261.77672,0.0,0.0,0.0,0.0,0.0,0.0
ASC1 30602M001,-14.41207290980718,-7.951212540860278,105.1107354843989,I,I,6118526.0502,-1572344.79296,-876450.95696,6118526.0502,-1572344.79296,-876450.95696,0.0,0.0,0.0,0.0,0.0,0.0
ASPA 50503S006,-170.7224391745173,-14.326091980235459,53.54009439609945,P,P,-6100260.16228,-996502.91231,-1567977.42098,-6100260.16228,-996502.91231,-1567977.42098,0.0,0.0,0.0,0.0,0.0,0.0
AUCK 50209M001,174.83438621934664,-36.60283910337375,132.67601002939045,I,I,-5105681.40805,461564.00902,-3782181.15822,-5105681.40805,461564.00902,-3782181.15822,0.0,0.0,0.0,0.0,0.0,0.0
BAHR 24901M002,50.60814891217047,26.209144068387708,-17.077859673649073,I,I,3633908.47181,4425275.63901,2799861.76417,3633908.47181,4425275.63901,2799861.76417,0.0,0.0,0.0,0.0,0.0,0.0
BAKE 40152M001,-96.0023486548736,64.31781968625661,4.546661504544318,I,I,-289834.18533,-2756501.12519,5725162.32903,-289834.18533,-2756501.12519,5725162.32903,0.0,0.0,0.0,0.0,0.0,0.0
BAN2 22306M003,77.51162094434224,13.034322014053364,831.8719522142783,I,I,1344087.21408,6068610.28182,1429292.31626,1344087.21408,6068610.28182,1429292.31626,0.0,0.0,0.0,0.0,0.0,0.0
BARH 49927S001,-68.22169222253453,44.395048595060096,6.754794106818736,I,I,1693644.68687,-4239067.58596,4439567.2904,1693644.68687,-4239067.58596,4439567.2904,0.0,0.0,0.0,0.0,0.0,0.0
BHR1 24901M002,50.60814891217047,26.209144068387708,-17.077859673649073,I,I,3633908.47181,4425275.63901,2799861.76417,3633908.47181,4425275.63901,2799861.76417,0.0,0.0,0.0,0.0,0.0,0.0
BHR2 24901M002,50.60814891217047,26.209144068387708,-17.077859673649073,I,I,3633908.47181,4425275.63901,2799861.76417,3633908.47181,4425275.63901,2799861.76417,0.0,0.0,0.0,0.0,0.0,0.0
BILI 12363M001,166.43796474428748,68.07612792176393,456.1372568598017,I,I,-2321893.28232,560096.80844,5894691.71969,-2321893.28232,560096.80844,5894691.71969,0.0,0.0,0.0,0.0,0.0,0.0
BJFS 21601M001,115.89248892439342,39.60860037737348,87.4711000090465,I,I,-2148744.40075,4426641.20827,4044655.85514,-2148744.40075,4426641.20827,4044655.85514,0.0,0.0,0.0,0.0,0.0,0.0
BOGT 41901M001,-74.08093954569429,4.640074325567124,2576.2662918940187,I,I,1744398.89734,-6116037.05627,512731.84726,1744398.89734,-6116037.05627,512731.84726,0.0,0.0,0.0,0.0,0.0,0.0
BOR1 12205M002,17.07345935910041,52.27695812473745,124.36044013686478,I,I,3738358.28058,1148173.8662,5021815.86157,3738358.28058,1148173.8662,5021815.86157,0.0,0.0,0.0,0.0,0.0,0.0
BRAZ 41606M001,-47.877869472823654,-15.947473617084535,1105.9998183147982,I,I,4115014.06786,-4550641.60856,-1741443.82974,4115014.06786,-4550641.60856,-1741443.82974,0.0,0.0,0.0,0.0,0.0,0.0
BREW 40473M001,-119.68263543769125,48.131523127773896,238.60523895639926,I,I,-2112007.29302,-3705351.82472,4726827.07669,-2112007.29302,-3705351.82472,4726827.07669,0.0,0.0,0.0,0.0,0.0,0.0
BRFT 41602M002,-38.42553766281344,-3.87744563715683,21.667827722616494,I,I,4985393.50504,-3954993.45534,-428426.5797,4985393.50504,-3954993.45534,-428426.5797,0.0,0.0,0.0,0.0,0.0,0.0
BRMU 42501S004,-64.69627435236578,32.37039955256184,-11.636729476042092,I,I,2304703.34393,-4874817.17077,3395187.01816,2304703.34393,-4874817.17077,3395187.01816,0.0,0.0,0.0,0.0,0.0,0.0
BRST 10004M004,-4.496592343894228,48.38049510370952,65.81667898315936,I,I,4231162.45932,-332746.50227,4745131.02403,4231162.45932,-332746.50227,4745131.02403,0.0,0.0,0.0,0.0,0.0,0.0
BRUS 13101M004,4.359221664300398,50.797819482959156,149.68250904325396,I,I,4027893.61253,307045.9898,4919475.22656,4027893.61253,307045.9898,4919475.22656,0.0,0.0,0.0,0.0,0.0,0.0
BUCU 11401M001,26.1257435794742,44.46394597126772,143.2349086087197,I,I,4093760.70152,2007793.98768,4445130.08193,4093760.70152,2007793.98768,4445130.08193,0.0,0.0,0.0,0.0,0.0,0.0
BUE1 41505S007,-58.51929929088545,-34.57370015153482,48.683278444223106,I,I,2745499.0972,-4483636.62292,-3599054.40662,2745499.0972,-4483636.62292,-3599054.40662,0.0,0.0,0.0,0.0,0.0,0.0
BUE2 41505S007,-58.51929929088545,-34.57370015153482,48.683278444223106,I,I,2745499.0972,-4483636.62292,-3599054.40662,2745499.0972,-4483636.62292,-3599054.40662,0.0,0.0,0.0,0.0,0.0,0.0
CAGL 12725M003,8.972755052619744,39.13591336202631,238.36430249549448,I,I,4893378.68829,772649.98303,4004182.28966,4893378.68829,772649.98303,4004182.28966,0.0,0.0,0.0,0.0,0.0,0.0
CAGZ 12725M004,8.972760902931034,39.13589138432337,237.99263748899102,I,I,4893379.84584,772650.67791,4004180.16248,4893379.84584,772650.67791,4004180.16248,0.0,0.0,0.0,0.0,0.0,0.0
CAS1 66011M001,110.51970642487119,-66.28336034795274,22.460232214070857,I,I,-901776.13852,2409383.25703,-5816748.49854,-901776.13852,2409383.25703,-5816748.49854,0.0,0.0,0.0,0.0,0.0,0.0
CCJM 21732S003,142.18457638046044,27.095583663792166,208.82668018899858,I,I,-4488925.45551,3483903.35455,2887743.39694,-4488925.45551,3483903.35455,2887743.39694,0.0,0.0,0.0,0.0,0.0,0.0
CEDU 50138M001,133.8098331865208,-31.866660229633784,144.72313056886196,I,I,-3753472.98675,3912741.01858,-3347959.94762,-3753472.98675,3912741.01858,-3347959.94762,0.0,0.0,0.0,0.0,0.0,0.0
